,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
130,00시48분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,41.0, 출발 ,
131,00시48분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,41.0, 출발 ,
132,00시57분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253.0, 출발 ,-
133,00시57분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253.0, 출발 ,
134,00시57분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253.0, 출발 ,
135,01시21분,이스탄불 (IST),TK091터키항공,T1,E09-E18,40.0, 출발 ,-
136,01시21분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,40.0, 출발 ,
137,01시39분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,113.0, 출발 ,-
138,01시49분,양곤 (RGN),8M802미얀마국제항공,T1,H31-H34,32.0, 출발 ,-
139,01시51분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,104.0, 출발 ,-
140,02시00분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E26-E29,105.0, 출발 ,-
141,02시46분,사할린 (UUS),HZ5497오로라항공,T1,D05-D08,31.0, 출발 ,-
142,02시46분,사할린 (UUS),SU5497아에로플로트 러시아항공,T1,D05-D08,31.0, 출발 ,
143,02시46분,사할린 (UUS),KE5987대한항공,T1,D05-D08,31.0, 출발 ,
144,00시09분,정저우 (CGO),CZ8130중국남방항공,T1,J09-J18,108.0, 출발 ,-
145,00시15분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,19.0, 출발 ,-
146,00시15분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,19.0, 출발 ,
147,00시16분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,42.0, 출발 ,-
148,00시29분,두바이 (DXB),EK323Y에미레이트항공,T1,L24-M10,43.0, 출발 ,-
149,00시29분,두바이 (DXB),KE5951Y대한항공,T1,L24-M10,43.0, 출발 ,
